timestamp,soil_temp,air_temp,soil_moisture,humidity,light_intensity,irrigation_status
2025-11-04 14:20:59,32.01,32.3,43.71,57.51,799.2,0
2025-11-04 14:20:59,28.61,38.82,59.25,80.71,104.37,0
2025-11-04 14:20:59,30.7,29.9,75.94,54.36,941.91,2
2025-11-04 14:20:59,35.37,29.67,33.67,84.27,255.44,0
2025-11-04 14:20:59,37.95,20.3,28.16,93.68,387.92,1
2025-11-04 14:20:59,30.69,19.18,75.84,63.48,672.62,2
2025-11-04 14:20:59,31.78,35.8,39.4,65.79,396.96,0
2025-11-04 14:20:59,17.52,28.25,24.59,31.04,358.16,1
2025-11-04 14:20:59,25.3,37.78,49.93,76.3,549.46,0
2025-11-04 14:20:59,28.03,34.46,64.32,30.54,416.73,0
2025-11-04 14:20:59,32.67,22.69,39.41,62.85,804.57,0
2025-11-04 14:20:59,28.01,31.71,16.79,66.73,712.26,1
2025-11-04 14:20:59,30.06,22.83,66.07,50.69,559.43,0
2025-11-04 14:20:59,27.22,25.98,27.23,76.83,983.39,1
2025-11-04 14:20:59,22.55,23.01,66.02,50.58,1056.16,0
2025-11-04 14:20:59,31.52,31.96,78.23,66.99,292.72,2
2025-11-04 14:20:59,32.84,37.22,24.83,67.76,211.32,1
2025-11-04 14:20:59,15.15,23.19,83.79,67.9,1052.86,2
2025-11-04 14:20:59,22.12,22.36,29.2,86.63,547.81,1
2025-11-04 14:20:59,24.41,30.48,43.07,51.72,363.4,0
2025-11-04 14:20:59,35.83,20.4,89.78,68.6,255.31,2
2025-11-04 14:20:59,15.54,19.89,51.7,48.96,1188.55,0
2025-11-04 14:20:59,25.3,36.03,59.64,46.75,154.01,0
2025-11-04 14:20:59,18.02,28.15,79.54,89.79,1054.78,2
2025-11-04 14:20:59,26.75,37.96,61.16,80.09,535.77,0
2025-11-04 14:20:59,28.35,23.96,49.4,67.52,688.88,0
2025-11-04 14:20:59,20.39,26.71,85.88,42.54,1025.06,2
2025-11-04 14:20:59,35.06,23.75,39.21,63.5,187.78,0
2025-11-04 14:20:59,37.43,18.17,43.25,75.1,832.29,0
2025-11-04 14:20:59,31.78,27.68,68.34,68.35,1012.19,0
2025-11-04 14:20:59,35.32,38.38,75.75,83.59,154.78,2
2025-11-04 14:20:59,17.92,40.79,70.43,35.38,167.92,2
2025-11-04 14:20:59,24.4,30.36,79.31,90.4,178.62,2
2025-11-04 14:20:59,33.11,27.39,51.01,93.29,190.23,0
2025-11-04 14:20:59,19.29,41.34,20.99,74.5,750.79,1
2025-11-04 14:20:59,33.93,19.85,71.11,59.86,1106.63,2
2025-11-04 14:20:59,34.02,32.66,48.18,44.09,817.1,0
2025-11-04 14:20:59,29.9,27.91,79.12,64.59,757.27,2
2025-11-04 14:20:59,23.73,41.52,80.74,82.36,260.86,2
2025-11-04 14:20:59,32.37,38.46,76.31,79.79,601.29,2
2025-11-04 14:20:59,16.22,40.71,33.21,30.76,763.83,0
2025-11-04 14:20:59,37.43,26.65,88.65,47.64,780.11,2
2025-11-04 14:20:59,18.74,21.58,61.2,71.43,125.8,0
2025-11-04 14:20:59,18.22,28.55,77.21,41.07,1108.73,2
2025-11-04 14:20:59,34.89,25.45,86.18,94.06,775.68,2
2025-11-04 14:20:59,19.14,21.17,73.2,42.52,738.24,2
2025-11-04 14:20:59,23.52,41.62,82.79,80.43,1105.06,2
2025-11-04 14:20:59,20.3,30.56,67.03,49.22,254.85,0
2025-11-04 14:20:59,23.26,41.72,24.43,84.27,698.66,1
2025-11-04 14:20:59,18.4,30.81,61.06,31.3,636.38,0
2025-11-04 14:20:59,36.97,26.82,66.32,85.15,738.85,0
2025-11-04 14:20:59,34.06,36.01,14.59,83.45,552.42,1
2025-11-04 14:20:59,29.17,28.38,46.3,85.01,128.82,0
2025-11-04 14:20:59,32.3,40.99,20.26,94.21,952.54,1
2025-11-04 14:20:59,27.64,23.15,81.05,50.04,427.78,2
2025-11-04 14:20:59,28.62,28.08,23.2,58.93,169.77,1
2025-11-04 14:20:59,35.97,27.62,61.86,46.52,896.72,0
2025-11-04 14:20:59,26.37,28.29,26.32,90.17,485.25,1
2025-11-04 14:20:59,16.08,24.0,84.64,49.69,112.4,2
2025-11-04 14:20:59,30.3,26.82,17.66,77.78,888.0,1
2025-11-04 14:20:59,34.43,25.9,86.21,61.56,971.57,2
2025-11-04 14:20:59,16.09,35.01,15.75,43.73,128.4,1
2025-11-04 14:20:59,24.54,33.32,49.21,69.0,262.03,0
2025-11-04 14:20:59,35.19,27.82,51.57,55.31,1048.16,0
2025-11-04 14:20:59,30.04,23.6,84.04,77.26,404.76,2
2025-11-04 14:20:59,15.05,33.82,25.07,80.91,643.92,1
2025-11-04 14:20:59,18.5,25.7,49.41,78.4,490.18,0
2025-11-04 14:20:59,36.08,38.49,31.66,49.5,354.01,0
2025-11-04 14:20:59,37.7,27.75,79.11,58.95,1092.88,2
2025-11-04 14:20:59,21.5,36.68,47.67,64.86,575.93,0
2025-11-04 14:20:59,20.29,29.91,37.99,44.91,1190.23,0
2025-11-04 14:20:59,37.99,33.9,60.69,49.61,596.94,0
2025-11-04 14:20:59,31.71,30.98,86.48,56.72,499.95,2
2025-11-04 14:20:59,18.43,28.2,71.99,88.02,888.84,2
2025-11-04 14:20:59,34.58,29.48,21.26,45.79,956.19,1
2025-11-04 14:20:59,27.49,19.04,10.9,59.1,209.27,1
